env,algo,config,alpha,w_max,ess,saturation_mass,fraction_clipped,top5_mass
antmaze-medium,CRL,52,19.73132885992527,20,0.29221514007336796,0.9238748617383274,0.2596875,0.17788204317464787
antmaze-medium,CRL,52,19.73132885992527,50,0.2729486108146193,0.9244100531030797,0.2425,0.1906000109490886
antmaze-medium,CRL,52,19.73132885992527,100,0.25893882600195783,0.9227532356788353,0.229375,0.20114511949402405
antmaze-medium,CRL,52,19.73132885992527,200,0.24538447976165229,0.9192523349971559,0.216328125,0.21246713412718662
antmaze-medium,CRL,53,8.007973730564117,20,0.2627907174028016,0.7998143527004902,0.187421875,0.21337273269208576
antmaze-medium,CRL,53,8.007973730564117,50,0.21933204817698004,0.7984395125507561,0.155703125,0.25639803714625387
antmaze-medium,CRL,53,8.007973730564117,100,0.19098052690073253,0.8026463091930243,0.13640625,0.29421170554612575
antmaze-medium,CRL,53,8.007973730564117,200,0.16646079673534453,0.8027014981384964,0.118984375,0.3373138271888626
antmaze-medium,CRL,54,5.087291551753879,20,0.4,1.0,0.4,0.125
antmaze-medium,CRL,54,5.087291551753879,50,0.4,1.0,0.4,0.125
antmaze-medium,CRL,54,5.087291551753879,100,0.4,1.0,0.4,0.125
antmaze-medium,CRL,54,5.087291551753879,200,0.4,1.0,0.4,0.125
antmaze-medium,CRL,55,23.36576479487121,20,0.3115457076979327,0.9432506837442224,0.284921875,0.1655279510820681
antmaze-medium,CRL,55,23.36576479487121,50,0.2952630081817956,0.9394161579608151,0.26890625,0.1746735447690069
antmaze-medium,CRL,55,23.36576479487121,100,0.2833299578521519,0.9394202862243944,0.25796875,0.18208024929848954
antmaze-medium,CRL,55,23.36576479487121,200,0.2716713404371383,0.9337967616012575,0.24546875,0.1902068515037571
antmaze-medium,CRL,56,25.696521950885653,20,0.3140692431703195,0.9444945401108498,0.28828125,0.16381477118453763
antmaze-medium,CRL,56,25.696521950885653,50,0.2986441015707423,0.9427057864312156,0.27359375,0.17228203978183265
antmaze-medium,CRL,56,25.696521950885653,100,0.287326602821692,0.9412147426250723,0.262578125,0.1792256576257204
antmaze-medium,CRL,56,25.696521950885653,200,0.27602274628429063,0.9402117341405517,0.2515625,0.18687438194097922
antmaze-medium,CRL,57,6.480549154803157,20,0.24653029212383404,0.7691854425633249,0.165078125,0.23297618705183526
antmaze-medium,CRL,57,6.480549154803157,50,0.1991826384615825,0.7515756040848228,0.129140625,0.2909911594762774
antmaze-medium,CRL,57,6.480549154803157,100,0.16821853852088967,0.7541872677879033,0.108984375,0.3460070619241994
antmaze-medium,CRL,57,6.480549154803157,200,0.14183962717311024,0.7639594114861873,0.0934375,0.40880771183207343
antmaze-medium,CRL,58,10.363794341683388,20,0.2648108381799503,0.8436913501586528,0.20484375,0.20593534099982372
antmaze-medium,CRL,58,10.363794341683388,50,0.22946329589755665,0.8293465171554245,0.173359375,0.23919863496145638
antmaze-medium,CRL,58,10.363794341683388,100,0.20466990451534062,0.8294941110745605,0.15421875,0.26893426093602774
antmaze-medium,CRL,58,10.363794341683388,200,0.18202897945629531,0.8237676092411544,0.13578125,0.303343653575569
antmaze-medium,CRL,59,21.149648129940033,20,0.3110482845820874,0.9235558973481219,0.27640625,0.16706494468705427
antmaze-medium,CRL,59,21.149648129940033,50,0.29078643707463586,0.92222655640811,0.25765625,0.17896452277173755
antmaze-medium,CRL,59,21.149648129940033,100,0.2759251645312767,0.9213921340150794,0.244140625,0.18870110904628826
antmaze-medium,CRL,59,21.149648129940033,200,0.2616919054575294,0.9252113928166168,0.23265625,0.19883656527959528
antmaze-medium,CRL,60,17.06431908532977,20,0.24182014144413874,0.9891096768986642,0.23796875,0.20782343835034311
antmaze-medium,CRL,60,17.06431908532977,50,0.23931315492207422,0.9873783944954609,0.23484375,0.21022028359184797
antmaze-medium,CRL,60,17.06431908532977,100,0.2373347835602571,0.9895753627753369,0.233515625,0.21188632725868706
antmaze-medium,CRL,60,17.06431908532977,200,0.23553895424631632,0.9901377812012202,0.231953125,0.21343488715688141
antmaze-medium,CRL,61,14.717795010656118,20,0.2962988508060349,0.9032447406251531,0.254296875,0.17759650814135117
antmaze-medium,CRL,61,14.717795010656118,50,0.27109039256342543,0.8998712044447831,0.23125,0.19456674690698011
antmaze-medium,CRL,61,14.717795010656118,100,0.25296253584940526,0.8962962739062946,0.214609375,0.20882039144522335
antmaze-medium,CRL,61,14.717795010656118,200,0.23572234411541845,0.8993203849073949,0.200703125,0.22404244699911746
